name,town,state,operator,usage_type,power_kw,connectors,lat,long
ANERT EESL - Kulappulli Bus Stand,Shornur,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.781016444981958,76.27832766263367
Kulappully KSEB EVCS - ChargeMOD,Kulappully,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",10.779746009556462,76.28528085807898
EV Super Charging Station,Pattambi,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.80479517192704,76.20815708375358
Syndicate Mall and Cinemas,Koppam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.878265919428571,76.1876066172299
Pattambi Power Bank - GO EC,Pattambi,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.811068529416133,76.18644369742708
AR Dine - GO EC,Cheruthuruthi,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.750381972119513,76.27475659553528
Medi Mall EVCS - ChargeMOD,Pattambi,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.801586108398226,76.17840842985345
InFour Wheel Care And Tyres - Tata Power,Perinthalmanna,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.960237966009913,76.23467881441366
Shalimar EVCS - GO EC,Perinthalmanna,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.96529678353042,76.2838983337245
New Kerala Hotel EVCS - GO EC,Nhangattiri,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.784880988938937,76.17067627366248
Lakshmi KRS EVCS - ChargeMOD,Sreekrishnapuram,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.898080110436226,76.39529564847953
ANERT EESL - Moosakkutti Memorial Bus Stand,Perinthalmanna,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.97506930502017,76.22228328115466
Hotel Mughal Park - ChargeMOD,Perinthalmanna,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.977193894783383,76.22165088752695
TML KVR Automotive - Tata Power,Perinthalmanna,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.984502724399704,76.18784701110644
Green Valley - GO EC,Thirissur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",10.69271606194583,76.26858375420068
Koottanad KSEB EVCS - ChargeMOD,Kootanad,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",10.75829320199584,76.13036645434084
Evee Buddy - ChargeMOD,Lakkidi,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.778142494678946,76.43743038448139
Green Drive EVCS - ChargeMOD,Vengoor,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.034502393123475,76.261886610857
Flash Charge EVCS - ChargeMOD,Erumappetti,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.68134081925561,76.16966999398119
MKM Melattur (EVOK) - ChargeMOD,Melattur,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.056208090445125,76.2785120254236
Green Zone EVCS - GO EC,Valanchery,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.873413080879715,76.06245822988649
SR Power Hub - ChargeMOD,Wadakkanchery,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",10.644411306533499,76.2366523754647
Sanjeevani Green - GO EC,Thiruvilwamala,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.710021712685972,76.42879294152868
IOCL Sigma Enterprises Charging Station - Tata Power,Valanchery,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.897914194795774,76.06100966592317
Avenue Plaza - ChargeMOD,Mannarkkad,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.98886452092161,76.43668850614375
"Baboos Triangle, Zeon Charging Station",Kunnamkulam ,Kerala,Zeon Charging,Public,,CCS (Type 2),10.719479255348858,76.07748035368672
Relax Point Restaurant,Karippol,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.922820413293309,76.03291841407719
Sihla Energy EVCS - ChargeMOD,Changaramkulam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.734551963997376,76.0486466862173
Core Multicusine Restaurant - ChargeMOD,Killannur,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.605823669307213,76.21178763460574
EcoCharge EVCS - ChargeMOD,Pandikkad,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.096399860074243,76.21070705445254
ANERT EESL - KILA Thrissur,Thrissur,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.601581892750232,76.21488230874667
Kadharkkante Chayakkada - ChargeMOD,Changaramkulam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.732605539222305,76.03743007303854
Unicorn Power EVCS - GO EC,Edappal,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.809946636248299,76.00873437017219
Oasis EV Super Charging Station,Mannarkkad,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.933556620012695,76.52721710150968
Jam Joom EV Charging Station - GO EC,Malappuram,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.043180592356805,76.08430155752035
Emirates Mall - Zeon,Edappal,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.786020507719897,76.00816181964399
Malappuram KSEB EVCS - ChargeMOD,Munduparamba,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",11.054224531620463,76.09214302066454
Executive EVCS - ChargeMOD,Kechery,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.616626586395299,76.12578392344301
Tata.ev Store Malappuram,Malappuram,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.052515251663408,76.07764045262866
A M Tyres Malappuram - Tata Power,Malappuram,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.060402531981708,76.08084415906978
CG Cafe EVCS - GO EC,Pandikkad,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.139596145163637,76.23611346181906
ANERT EESL - Kanjirappuzha Garden,Mannarkkad,Keral,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.989259255628724,76.5370121393978
Viyyur KSEB,Thrissur,Kerala,(Unknown Operator),Public - Membership Required,,CCS (Type 2),10.559346433034207,76.2173581272001
Dream City Convention Center,Pattikkad,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.55587198783526,76.32282252128522
Club Sulaimani - Zeon,Kottakkal,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.983867426675815,75.99802950416446
Sihla Energy - ChargeMOD,Mundur,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.839491845338173,76.57999971285125
Amala Smart EVCS - GO EC,Peramangalam,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.564967494138358,76.16598425547983
Hotel Gokulam Relax Park,Manjeri,Kerala,Tata Power,Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",11.118906106281457,76.11847374415197
Golden Baked EVCS - ChargeMOD,Manjeri,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.123411072326249,76.1241851617412
Nesto Hypermarket - Zeon,Kottakkal,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.99573941435061,75.99210993730881
Krishna Enterprises - ChargeMOD,Manjeri,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.123033354978745,76.11586842746766
Maranchery Bank EVCS - ChargeMOD,Maranchery,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.733824066652744,75.97481311884229
Shobha City Mall EVCS - GO EC,Thrissur,Kerala,GO EC (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.548946556742209,76.18304110696954
Plug and Share Charge EVCS - ChargeMOD,Thrissur,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.540561786051626,76.21568678106814
VP Mall EVCS - GO EC,Manjeri,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.128915821482948,76.11539460586829
Nesto Hypermarket,Thrissur,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.539926248084,76.19288757731226
TML Hyson Motors - Tata Power,Thrissur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.540422993964356,76.18967782467394
Punkunnam-Guruvayoor Road,Thrissur,Kerala,Ather Grid Point (India),Public - Pay At Location,,Type M,10.537654030632055,76.19714944011241
Evee Buddy - ChargeMOD,Vadakkencherry,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.59195730674837,76.46571176693163
Thirunilath ECVS Charging Station - ChargeMOD,Kottakkal,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.001726591966232,75.98044942341241
Sihla Energy CV Junction,Ponnanu,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.78474624498736,75.94715236357325
Vadakkenchery KSEB EVCS - ChargeMOD,Vadakkenchery,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, CCS (Type 2), CEE 3 Pin, CHAdeMO",10.597238174568261,76.4798493658505
SJ Eco Power Charge - GO EC,Alathur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) ",10.638304424407124,76.52393013576875
Ponnani KSEB EVCS - ChargeMOD,Ponnani,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.77270262589785,75.94715150475236
Vydyuthi Bhavan KSEB EVCS - ChargeMOD,Thrissur,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.527794705960048,76.20534384591946
Jeevz - GO EC,Vadakkencherry,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.593239028175063,76.48253527396616
Guardian EV Charging Station by Imminent Future - ChargeMOD,Thrissur,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.522036160727893,76.22756889930918
V8 Car Spa (EVOK) - ChargeMOD,Thrissur,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.521332304786895,76.23075684655782
Electrica EVCS - ChargeMOD,Palakkad,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.785354858796723,76.60395568328437
PCK Centenary,Thrissur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.522940422798897,76.20624766653009
Daiz and Co. EVCS - GO EC,Thrissur,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.526149574968883,76.18795462415846
Chennai Ananda Bhavan,Thrissur,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.51275970432485,76.25891674593504
Hotel Devaragam,Guruvayur,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.595622580626454,76.04459842650351
Hotel Gokulam Sabari - Tata Power,Guruvayur,Kerala,Tata Power,Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.596356977075132,76.0429344292022
Sree Krishna Hotel - GO EC,Guruvayoor,Kerala,GO EC (IN),Public - Membership Required,,CEE 3 Pin,10.598447823364936,76.03636788702198
Anchorage AC - ChargeMOD,Mundupalam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.51150300660646,76.2211242647158
Doctor Green EVCS - GO EC,Alathur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.646166361085193,76.55140239344632
Flash Hub EVCS - ChargeMOD,Thrissur,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.504451667440918,76.2253414703747
Nesto Hypermarket Zeon,Thirur,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.907726245273935,75.92032568189924
Tirur KSEB EVCS - ChargeMOD,Tirur,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",10.916247276818709,75.9182865420172
AAK Mall,Tirur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.918580614575077,75.91779832596808
Tata.ev Hyson Motors - Tata Power,Thrissur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.496728474625243,76.25836131243113
Hilite Mall,Thrissur,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.49548871358526,76.25680252890044
HIQ Highway Market - GO EC,Venniyour,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.021175494360463,75.94812608969005
IOCL Aaditya Petroleum Naduvath Charging Station - Tata Power,Wandoor,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.211054369500445,76.22468507295008
Plugin EVCS - ChargeMOD,Marathakkara,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.476826918091618,76.25758184965241
Moto Town Auto Hub - Tata Power,Wandoor,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.223249596398574,76.216915246844
One Stop Automotive Cahrging Station - Tata Power,Edavanna,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.204146203983242,76.13673353482534
Grand Hyundai - ChargeZone,Palakkad,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),10.790476610940487,76.65111938555197
MB#Bridgeway Motors - ChargeZone,Thrissur,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),10.471047117861417,76.25745902731421
KVR Automotive - Tata Power,Koppam,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.782258203557745,76.65824510709217
IOCL Thiruvonam Fuels - Tata Power,Palakkad,Kerala,Tata Power,Public - Membership Required,,"CCS (Type 2), CHAdeMO",10.769830981411019,76.6680965040648
Changathikoottam EVCS - ChargeMOD,Nenmara,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.593403340483874,76.58352519849984
Hotel Bhavan EVCS (EVOK) - ChargeMOD,Engandiyoor,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.497688531804059,76.06464225925947
ABS Motors - GO EC,Nilambur,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.253647260873336,76.20190120433364
Green Drive EV Super Charging Station,Vadanappilly,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.494542466430332,76.06584744162075
Sree Sankara EVCS - GO EC,Vadanappalli,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.487291202025474,76.07083611597062
Gokulam Residency - Tata Power,Amballur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),10.436187097899406,76.2652058281742
Sree Rama EVCS - GO EC,Thrissur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.435594973940098,76.26587468424111
Topup Zone EVCS - ChargeMOD,Amballur,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.433892384483272,76.26514871789954
Le Sky Dine EVCS - GO EC,Palakkad,Kerala,GO EC (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.773957251049566,76.69819741498287
Chargify EV Super Charging Station ,Malappuram,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.07841705440245,75.90276391559283
Calicut Airport Charging Station - Tata Power,Kondotty,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.140292270314333,75.94831371133864
Jam Joom Super Market - GO EC,Nilambur,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.286680725471314,76.23926379142972
Surya Hotel (EVOK) - ChargeMOD,Chazhoor,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.431569255270972,76.14255951064098
Karulai Malayora Express EVCS - GO EC,Karulai,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.288049483016962,76.2979817145112
Sihla Energy EVCS - ChargeMOD,Karuvannur,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.408946582335531,76.21401108727605
Kay Pees Electricals (EVOK) - ChargeMOD,Pulikkal,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.168867778013905,75.92676863268412
EV Point EVCS - ChargeMOD,Kodakara,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.380660869345945,76.29768618030681
NOS2 Varalakshmi Motors EVCS - ChargeMOD,Pingottormad,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.144918979517485,75.89616975961107
Valappad KSEB EVCS - ChargeMOD,Valappad,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.401732210974814,76.11933511778938
ANERT EESL - Chittur Thathamangalam Minicipality,Palakkad,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.692951545459948,76.7262620829282
Nattika FIRKA Service Co-Operative Bank - ChargeMOD,Nattika,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.402437782624176,76.11263307811237
RG Nallanna EVCS (EVOK) - ChargeMOD,Aikkarapadi,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.17327990543808,75.9021517982653
Korner EVCS - ChargeMOD,Thrissur,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.367048481339793,76.31535658210885
Trends Edavannappara EVCS - ChargeMOD,Edavannappara,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.245323145434341,75.97749174887804
FUZO EV Super Charging Station,Kodungallur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.378135160727652,76.12254539101707
Flash Charge EVCS - ChargeMOD,Kanjikkode,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.802279980273397,76.78520298821064
Flash Charge EVCS - ChargeMOD,Chalakudy,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.339608926521834,76.32174630594778
Irinjalakkuda KSEB EVCS - ChargeMOD,Irinjalakkuda,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",10.331423098125157,76.21526077419406
Indus Motors - ChargeMOD,Feroke,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.180743762022217,75.85119863600679
Travlounge - Palakkad,Walayar,Kerala ,Zeon Charging,Public,,CCS (Type 2),10.82633,76.82033
Mall of Mukkom EVCS - GO EC,Mukkom,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.319727225409608,75.99551711292489
Mountainpass Residency - ChargeMOD,Vazhikadavu,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),11.386628059572274,76.35472249074127
Ahalia Walayar - GO EC,Walayar,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),10.826593048149789,76.82605307444436
TML Marina Motors - Tata Power,Kozhikode,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.216965265185237,75.85795106094037
Palakkad Ahalia Eye Hospital EVCS - GO EC,Elappully,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) ",10.79348727039229,76.82652950538215
Palakkad Ahalia Women and Childern Hospital EVCS - GO EC,Elappully,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) ",10.797308592491405,76.82754081494369
"SR Jungle Resort, Anaikatti",Anaikatti,Tamil Nadu ,Zeon Charging,Public,,Type 2 (Tethered Connector) ,11.11848,76.75985
Palakkad Ahalia Food Point EVCS - GO EC,Elappully,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) ",10.792032259171833,76.82834711933714
Edassery Samrudhi Hypermarket (EVOK) - ChargeMOD,Chalakudy,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.30310177272014,76.33704224327056
Indian Coffee House (EVOK) - ChargeMOD,Chalakkudy,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.28934329936537,76.33706820135649
Velanthavalam,Vellamthavalam,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",10.809362994233211,76.8463215936606
Reliance Fresh EVCS - GO EC,Kozhikode,Keral,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.23473742288897,75.84670658837746
Clay House Hotel,Chalakkudy,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),10.285574229385333,76.34237765373388
