latitude,longitude,ev_adoption_likelihood_score,density_per_km2,population,per_capita_income
8.5241,76.9366,73.7,3520,1157549,290179
8.4005,77.0883,68.7,1569,257968,264946
8.6031,77.0008,68.7,1569,257968,264946
8.6969,76.8152,68.7,1569,171978,264946
8.7379,76.7163,68.7,1569,171978,264946
8.3167,77.0667,68.7,1569,171978,264946
,,45.3,637,15313,227097
9.9312,76.2673,80.5,2494,1147951,397660
10.0153,76.3478,70.6,1111,255828,363081
10.0535,76.3272,70.6,1111,255828,363081
10.1081,76.3528,70.6,1111,170552,363081
10.0722,76.275,70.6,1111,170552,363081
10.1093,76.4742,70.6,1111,170552,363081
,,51.2,451,12597,311212
10.5276,76.2144,77.8,2393,1088614,326617
10.3416,76.2126,63.8,1066,242605,298215
10.3064,76.3319,63.8,1066,242605,298215
10.2263,76.1994,63.8,1066,161737,298215
10.594,76.0419,63.8,1066,161737,298215
10.6494,76.0736,63.8,1066,161737,298215
,,44.5,433,11427,255613
11.2588,75.7804,71.4,3075,1081340,270250
11.6061,75.5947,64.0,1370,240984,246750
11.4383,75.6965,64.0,1370,240984,246750
11.1731,75.825,64.0,1370,160656,246750
11.2553,75.8028,64.0,1370,160656,246750
11.4383,75.6965,64.0,1370,160656,246750
,,41.9,556,13388,211500
8.8932,76.6141,80.5,2463,920396,365343
9.0534,76.5287,68.5,1097,205116,333574
8.7929,76.6733,68.5,1097,205116,333574
9.0196,76.9248,68.5,1097,136744,333574
8.9872,76.7358,68.5,1097,136744,333574
8.9708,76.5314,68.5,1097,136744,333574
,,48.2,445,12518,285921
11.051,76.0711,61.7,1544,411095,203878
11.1208,76.1205,61.7,1544,411095,203878
10.9144,75.9233,61.7,1544,274063,203878
10.7682,75.9253,61.7,1544,274063,203878
10.9756,76.2281,61.7,1544,274063,203878
10.9947,75.8708,61.7,1544,274063,203878
,,42.0,771,22372,174753
9.4981,76.3388,78.4,2401,254633,350368
9.6847,76.3358,78.4,2401,254633,350368
9.1742,76.501,78.4,2401,169755,350368
9.2564,76.5508,78.4,2401,169755,350368
9.2942,76.4556,78.4,2401,169755,350368
,,60.4,975,15115,300315
10.7867,76.6548,55.9,1003,337306,240121
10.7744,76.3778,55.9,1003,337306,240121
10.6974,76.7467,55.9,1003,224871,240121
10.7653,76.2768,55.9,1003,224871,240121
10.9914,76.4548,55.9,1003,224871,240121
,,38.3,407,16240,205818
11.8745,75.3704,72.0,1984,883051,276000
11.748,75.49,54.9,884,196794,252000
11.929,75.5744,54.9,884,196794,252000
12.0978,75.2017,54.9,884,131196,252000
12.0411,75.3597,54.9,884,131196,252000
11.9278,75.6113,54.9,884,131196,252000
,,38.5,359,10528,216000
9.5916,76.5222,71.6,1430,236946,303118
9.445,76.5428,71.6,1430,236946,303118
9.7167,76.6833,71.6,1430,157964,303118
9.6818,76.5483,71.6,1430,157964,303118
9.7489,76.3956,71.6,1430,157964,303118
,,47.9,581,13690,259815
9.2648,76.787,47.3,726,143689,213251
9.1568,76.7338,47.3,726,143689,213251
9.3833,76.5746,47.3,726,95792,213251
9.2089,76.675,47.3,726,95792,213251
9.2889,76.6744,47.3,726,95792,213251
,,33.4,295,11530,182787
9.8948,76.7184,51.0,508,166117,284142
9.6944,77.0683,51.0,508,166117,284142
10.0889,77.0595,51.0,508,110745,284142
9.9853,76.9656,51.0,508,110745,284142
,,37.6,158,10648,243550
11.6103,76.0829,54.6,1021,163311,225750
11.8042,76.0008,54.6,1021,163311,225750
11.6831,76.2744,54.6,1021,108874,225750
,,33.2,223,16567,193500
12.4996,74.9869,61.0,1312,196106,231000
12.3081,75.0958,61.0,1312,196106,231000
12.2599,75.1354,61.0,1312,130737,231000
12.0978,75.2017,61.0,1312,130737,231000
,,37.4,410,16761,198000
