district,ev_count,latitude,longitude
Thiruvananthapuram,21500,8.5241,76.9366
Thiruvananthapuram,3200,8.4005,77.0883
Thiruvananthapuram,2800,8.6031,77.0008
Thiruvananthapuram,2500,8.6969,76.8152
Thiruvananthapuram,1800,8.7379,76.7163
Kollam,14200,8.8932,76.6141
Kollam,3100,9.0534,76.5287
Kollam,2200,9.0196,76.9248
Kollam,1900,8.9872,76.7358
Kollam,1100,8.7929,76.6733
Pathanamthitta,2800,9.3833,76.5746
Pathanamthitta,2100,9.2648,76.787
Pathanamthitta,1900,9.1568,76.7338
Pathanamthitta,1500,9.2089,76.675
Alappuzha,5500,9.4981,76.3388
Alappuzha,3200,9.6847,76.3358
Alappuzha,2800,9.1742,76.501
Alappuzha,1600,9.2564,76.5508
Alappuzha,1400,9.3168,76.6149
Kottayam,6200,9.5916,76.5222
Kottayam,2800,9.7167,76.6833
Kottayam,2500,9.445,76.5428
Kottayam,1900,9.6818,76.5483
Kottayam,1200,9.7489,76.3956
Idukki,2100,9.8948,76.7184
Idukki,1400,9.6944,77.0683
Ernakulam,22500,9.9312,76.2673
Ernakulam,3000,10.0153,76.3478
Ernakulam,2500,10.1081,76.3528
Ernakulam,1800,10.1908,76.3878
Ernakulam,1500,10.1093,76.4742
Ernakulam,1200,9.9798,76.577
Thrissur,18500,10.5276,76.2144
Thrissur,2600,10.594,76.0419
Thrissur,2200,10.6494,76.0736
Thrissur,2100,10.3064,76.3319
Thrissur,1900,10.3416,76.2126
Thrissur,1700,10.2263,76.1994
Palakkad,7200,10.7867,76.6548
Palakkad,2800,10.7744,76.3778
Palakkad,1900,10.6974,76.7467
Palakkad,1600,10.9914,76.4548
Palakkad,1200,10.7653,76.2768
Malappuram,5800,11.051,76.0711
Malappuram,5200,11.1208,76.1205
Malappuram,4100,10.9756,76.2281
Malappuram,3900,10.9144,75.9233
Malappuram,3200,10.7682,75.9253
Malappuram,2800,11.2256,75.9936
Kozhikode,20500,11.2588,75.7804
Kozhikode,3500,11.6061,75.5947
Kozhikode,2800,11.4383,75.6965
Kozhikode,1900,11.2553,75.8028
Kozhikode,1800,11.1731,75.825
Kozhikode,1500,11.3835,75.8846
Wayanad,1200,11.6103,76.0829
Wayanad,1100,11.6831,76.2744
Wayanad,900,11.8042,76.0008
Kannur,13500,11.8745,75.3704
Kannur,3800,11.748,75.49
Kannur,2600,12.0978,75.2017
Kannur,2400,12.0411,75.3597
Kannur,1900,11.929,75.5744
Kannur,1500,11.8447,75.6079
Kasaragod,2800,12.3081,75.0958
Kasaragod,2500,12.4996,74.9869
Kasaragod,1200,12.2599,75.1354
